,AORKEY,Original Flux (mJy),2_2_6 Flux (mJy),Systematics Flux (mJy),bcd1 Flux (mJy),bcd32 Flux (mJy),bcd64 Flux (mJy),5_5_10 Flux (mJy),Different Sky Subtraction Flux (mJy),"r5, medBCD Flux (mJy)",Original Spread (%),2_2_6 Spread (%),Systematics Spread (%),bcd1 Spread (%),bcd32 Spread (%),bcd64 Spread (%),5_5_10 Spread (%),Different Sky Subtraction Spread (%),"r5, medBCD Spread (%)"
785,40738560,2386.09327215,2180.89446358,2512.00402558,2288.49556401,2351.97993258,2309.36057009,2259.6518638,2314.16510346,2258.25279152,2.33517447029,1.97887747829,3.16873463827,3.57835162791,3.03676383662,1.42084868069,1.40743630848,1.16518408457,1.08694286632
786,40739072,2578.06615799,2401.81796321,2671.06597251,2661.31067749,2533.2628374,2583.17448149,2484.96112757,2522.13698968,2448.68701794,1.29869067574,1.33153689698,0.641827944197,2.51889279241,2.34360503809,4.61337884078,1.6860683843,1.84052181854,0.440698351545
787,40739328,3238.61419659,2960.20670484,2671.06597251,3307.25193312,3191.03075829,3237.99238097,3053.27287169,3127.14016297,3051.54349074,0.0,0.0,0.641827944197,0.0,0.0,0.0,0.0,0.0,0.0
788,40739584,702.159926969,639.58825068,2671.06597251,702.262941231,706.219901381,721.891433192,659.941244506,675.398031925,659.344121445,0.0,0.0,0.641827944197,0.0,0.0,0.0,0.0,0.0,0.0
789,40739840,1430.24089825,1315.74483716,2671.06597251,1366.35007877,1361.80194101,1301.6022641,1364.76416212,1400.31876152,nan,0.0,0.0,0.641827944197,0.0,0.0,0.0,0.0,0.0,nan
790,40740096,2381.59814023,2121.82837465,2481.37618538,2393.56174056,2371.07996747,2379.84933828,2209.26571921,2319.4233857,2215.88669573,2.05154372397,1.16336700158,2.05505097108,2.75713235957,3.20960244812,3.58437172505,1.39100031876,2.6224070539,1.37149672278
791,40740352,2773.36125274,2540.56431313,2481.37618538,2893.15491493,nan,2738.79838065,2612.1443043,2702.03670775,2616.26940422,0.0,0.0,2.05505097108,0.0,nan,0.0,0.0,0.0,0.0
792,40740608,2659.28100191,2514.90933179,2769.49572683,2620.61943467,2663.69377492,2633.24897011,2584.1983286,2596.76192892,2603.31614051,1.12522087928,1.05365056545,1.13987804764,2.73698115763,1.80492827187,4.64443730092,1.2468398472,1.56741335082,2.64917004683
793,40741376,1922.85434986,1520.9037108,1992.6680719,1882.6341012,1908.46621678,1940.56314909,1731.11792938,1844.74841383,1751.82143249,3.25153481533,0.995227411963,2.83624466114,5.45655818232,5.97509189478,4.17369571519,1.58215370136,1.51257609086,1.50781276207
794,40741632,1319.97807564,1164.90106903,1369.33931302,1243.79547388,1358.13727861,1369.03914381,1203.70979737,1223.44425124,1204.78834989,2.8085074841,1.63431593546,2.74167299554,11.8354534338,3.09676316016,5.68237987309,1.42251970176,2.39223679088,0.904649030234
